,0,1
226,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/E0CYM4
272,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UPP3
273,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UQ59
274,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q7JCY6
275,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A0N4SVF5
276,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P31648
277,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q6PCX2
278,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/D3YY51
279,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P56564
280,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q543U3
281,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q8C3T7
282,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q8C7W8
283,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q99NG1
288,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q9R118
289,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A0A6YW95
290,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q61361
291,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3TSQ8
292,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3TQE9
293,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/D3Z458
294,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/D3YTN3
295,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q9CRA4
296,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/I7HIF3
297,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P14231
298,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UR55
313,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A0G2JDA6
314,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q9CPQ1
315,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A1W2P8A3
316,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A1W2P793
317,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P23242
318,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UTR0
319,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q7TMQ1
320,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q6T9D4
321,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q8C4N2
322,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q9CT20
323,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P60867
324,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q5BLK2
325,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q9QY33
326,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A1L1SQ19
327,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A1L1SRJ4
328,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A8C1U1
329,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3TXC6
330,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3U364
331,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3TVZ0
332,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q545L1
333,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3THL4
334,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q80XR4
335,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q8BPU2
336,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q91VK4
337,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A087WRM2
338,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3U0F3
384,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/P50114
385,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3UY00
390,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q9D964
391,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/A0A2I3BR60
392,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/A0A2I3BS26
393,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/G3UXY9
394,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q9R1E6
397,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/P63017
398,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/D3Z5E2
399,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3U9L2
400,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3UXU1
401,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3UBR0
402,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3UBA6
403,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3TQ13
404,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3TZJ3
405,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3TH56
406,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3TRH3
407,http://purl.obolibrary.org/obo/CL_0000128,http://purl.uniprot.org/uniprot/Q3ULM1
